filepath,call_number,photographer,caption,year,month,state,city,county,longitude,latitude
media/fsac/1a35333v.jpg,LC-DIG-fsac-1a35333,Alfred T. Palmer,"F.W. Hunter, Army test pilot, Douglas Aircraft Company plant at Long Beach, Calif.",1942,10,California,Long Beach,Los County,-118.1892348,33.7669623
media/fsac/1a34582v.jpg,LC-DIG-fsac-1a34582,Marjory Collins,"Garage mechanic near Newark, N.J. Badge denotes member of Office of Defense Transportation",1943,12,New Jersey,Newark,Essex County,-74.1723667,40.735657
media/fsac/1a34831v.jpg,LC-DIG-fsac-1a34831,Jack Delano,"Unloading a lake freighter at the Pennsylvania Railroad iron ore docks by means of Hulett unloaders, Cleveland, Ohio. In the foreground, empty cars are waiting to pass under the unloaders to pick up their loads",1943,5,Ohio,Cleveland,Cuyahoga County,-81.6954088,41.4994954
media/fsac/1a34134v.jpg,LC-DIG-fsac-1a34134,Russell Lee,"Rodeo at the Pie Town, New Mexico Fair",1940,10,New Mexico,Pie Town,Catron County,-108.1347836,34.2983884
media/fsac/1a33866v.jpg,LC-DIG-fsac-1a33866,Jack Delano,"Near the waterfront, New Bedford, Mass.",1941,1,Massachusetts,New Bedford,Bristol County,-70.934205,41.6362152
media/fsac/1a34945v.jpg,LC-DIG-fsac-1a34945,Howard R. Hollem,"Putting the nose section of a mighty transport plane in place in the fuselage mating fixture at the Consolidated Aircraft Corporation plant, Fort Worth, Texas",1942,10,Texas,Fort Worth,Tarrant County,-97.3208496,32.725409
media/fsac/1a34786v.jpg,LC-DIG-fsac-1a34786,Jack Delano,"General view of part of the South Water Street freight depot of the Illinois Central Railroad, Chicago, Ill.",1943,5,Illinois,Chicago,Cook County,-87.6500523,41.850033
media/fsac/1a34618v.jpg,LC-DIG-fsac-1a34618,Jack Delano,"Working on a locomotive at the 40th Street shop of the C &amp; NW RR, Chicago, Ill.",1942,12,Illinois,Chicago,Cook County,-87.6500523,41.850033
media/fsac/1a34347v.jpg,LC-DIG-fsac-1a34347,Marion Post Wolcott,"Day laborers picking cotton near Clarksdale, Miss.",1939,11,Mississippi,Clarksdale,Coahoma County,-90.5709323,34.2001086
media/fsac/1a34246v.jpg,LC-DIG-fsac-1a34246,Arthur Rothstein,"Instructor explaining the operation of the parachute to students, Meacham Field, Fort Worth, Tex.",1942,1,Texas,Fort Worth,Tarrant County,-97.3208496,32.725409
media/fsac/1a34621v.jpg,LC-DIG-fsac-1a34621,Jack Delano,"A Chicago and Northwestern railroad roundhouse, Chicago, Ill.",1942,12,Illinois,Melrose Park,Cook County,-87.8567277,41.9005865
media/fsac/1a33865v.jpg,LC-DIG-fsac-1a33865,Jack Delano,"Skating, vicinity of Brockton, Mass.",1940,12,Massachusetts,Brockton,Plymouth County,-71.0183787,42.0834335
media/fsac/1a34679v.jpg,LC-DIG-fsac-1a34679,Jack Delano,"General view of one of the classification yards of the C &amp; NW RR., Chicago, Ill.",1942,12,Illinois,Melrose Park,Cook County,-87.8567277,41.9005865
media/fsac/1a35219v.jpg,LC-DIG-fsac-1a35219,Alfred T. Palmer,"M-3 tanks in action, Ft. Knox, Ky.",1942,6,Kentucky,Fort Knox,Hardin County,-85.963629,37.891129
media/fsac/1a34633v.jpg,LC-DIG-fsac-1a34633,Jack Delano,"Painting a car at the repair or &quot;rip&quot; tracks at North Proviso(?), C &amp; NW RR., Chicago, Ill.",1942,12,Illinois,Melrose Park,Cook County,-87.8567277,41.9005865
media/fsac/1a34381v.jpg,LC-DIG-fsac-1a34381,Marion Post Wolcott,"Mountaineers and farmers trading mules and horses on &quot;Jockey St.,&quot; near the Court House, Campton, Wolfe County, Ky.",1940,9,Kentucky,Campton,Wolfe County,-83.547409,37.7342526
media/fsac/1a34933v.jpg,LC-DIG-fsac-1a34933,Howard R. Hollem,"Drilling a wing bulkhead for a transport plane at the Consolidated Aircraft Corporation plant, Fort Worth, Texas",1942,10,Texas,Fort Worth,Tarrant County,-97.3208496,32.725409
media/fsac/1a34775v.jpg,LC-DIG-fsac-1a34775,Jack Delano,"Diesel switch engineer moving freight cars at the South Water street freight terminal of the Illinois Central R.R., Chicago, Ill. The N.Y. Central is one of the railroads that lease terminal facilities from the I.C.R.R.",1943,4,Illinois,Chicago,Cook County,-87.6500523,41.850033
media/fsac/1a34903v.jpg,LC-DIG-fsac-1a34903,Howard R. Hollem,"Aviation cadets in training at the Naval Air Base, Corpus Christi, Texas",1942,8,Texas,Corpus Christi,Nueces County,-97.396381,27.8005828
media/fsac/1a33871v.jpg,LC-DIG-fsac-1a33871,Jack Delano,"Men and a woman reading headlines posted in street-corner window of Brockton Enterprise newspaper office on Christmas Eve, Brockton, Mass.",1940,12,Massachusetts,Brockton,Plymouth County,-71.0183787,42.0834335
media/fsac/1a34645v.jpg,LC-DIG-fsac-1a34645,Jack Delano,"Locomotives over the ash pit at the roundhouse and coaling station at the Chicago and Northwestern Railroad yards, Chicago, Ill.",1942,12,Illinois,Chicago,Cook County,-87.6500523,41.850033
media/fsac/1a33843v.jpg,LC-DIG-fsac-1a33843,Jack Delano,"Farm in the vicinity of Van Buren, Aroostook County, Me.",1940,10,Maine,Van Buren,Aroostook County,-67.9353018,47.1572653
media/fsac/1a34980v.jpg,LC-DIG-fsac-1a34980,Howard R. Hollem,"Helen Ryan, age 41 (with cap), widow and used to work in a show factory, Heil and Co., Milwaukee, Wisconsin. Agnes Cliemka, age 23, married and husband may be going into the service any day, brother in the army. [She] used to be a clerk in a dep[artmen]t store. Unmasking and checking parts of the gasoline trailers that will be turned over to the Air Force",1943,2,Wisconsin,Milwaukee,Milwaukee County,-87.9064736,43.0389025
media/fsac/1a35035v.jpg,LC-DIG-fsac-1a35035,Russell Lee,"Scrap and salvage depot, Butte, Mont.",1942,10,Montana,Butte,Silver County,-112.5347447,46.0038153
media/fsac/1a34236v.jpg,LC-DIG-fsac-1a34236,Russell Lee,"Shasta dam under construction, California",1942,6,California,Redding,Shasta County,-122.3916754,40.5865396
media/fsac/1a34614v.jpg,LC-DIG-fsac-1a34614,Jack Delano,"Locomotive lubrication chart in the laboratory of the Chicago and Northwestern Railroad. The laboratory assistant in foreground is working at a precision balance. Chicago, Ill",1942,12,Illinois,Chicago,Cook County,-87.6500523,41.850033
media/fsac/1a34747v.jpg,LC-DIG-fsac-1a34747,Jack Delano,"Westbound freight train stopping for water, Melrose, N[ew] Mex[ico]",1943,3,New Mexico,Melrose,Curry County,-103.63246,34.4303525
media/fsac/1a34117v.jpg,LC-DIG-fsac-1a34117,Russell Lee,"Mrs. Norris with homegrown cabbage, one of the many vegetables which the homesteaders grow in abundance, Pie Town, New Mexico",1940,10,New Mexico,Pie Town,Catron County,-108.1347836,34.2983884
media/fsac/1a35398v.jpg,LC-DIG-fsac-1a35398,Mark Sherwood,"North American&#39;s P-51 Mustang Fighter is in service with Britain&#39;s Royal Air Force, N[orth] A[merican] Aviation, Inc., Inglewood, Calif.",1942,10,California,Inglewood,Los County,-118.3531311,33.9616801
media/fsac/1a35086v.jpg,LC-DIG-fsac-1a35086,Alfred T. Palmer,"Man of the Fort Story, Va. coastal defense",1942,3,Virginia,Fort Story,City News,-76.5840675,37.1587672
media/fsac/1a34739v.jpg,LC-DIG-fsac-1a34739,Jack Delano,"Santa Fe R.R. near Melrose, New Mexico",1943,3,New Mexico,Melrose,Curry County,-103.63246,34.4303525
media/fsac/1a35275v.jpg,LC-DIG-fsac-1a35275,Alfred T. Palmer,"TVA chemical plant, electric furnace loaded with phosphate, vicinity of Muscle Shoals, Alabama",1942,6,Alabama,Muscle Shoals,Colbert County,-87.6675292,34.7448112
media/fsac/1a34877v.jpg,LC-DIG-fsac-1a34877,Howard R. Hollem,"With a woman&#39;s determination, Lorena Craig takes over a man-size job, Corpus Christi, Texas. Before she came to work at the Naval air base she was a department store girl. Now she is a cowler under civil service",1942,8,Texas,Corpus Christi,Nueces County,-97.396381,27.8005828
media/fsac/1a34876v.jpg,LC-DIG-fsac-1a34876,Howard R. Hollem,"Jesse Rhodes Waller, A.O.M., third class, tries out a 30-calibre machine gun he has just installed on a Navy plane, Naval Air Base, Corpus Christi, Texas",1942,8,Texas,Corpus Christi,Nueces County,-97.396381,27.8005828
media/fsac/1a35280v.jpg,LC-DIG-fsac-1a35280,Alfred T. Palmer,"Large electric phosphate smelting furnace used in the making of elemental phosphorus in a TVA chemical plant in the Muscle Shoals area, Alabama",1942,6,Alabama,Muscle Shoals,Colbert County,-87.6675292,34.7448112
media/fsac/1a34710v.jpg,LC-DIG-fsac-1a34710,Jack Delano,"Santa Fe R.R. locomotive shops, Topeka, Kansas",1943,3,Kansas,Topeka,Shawnee County,-95.6780371,39.0483336
media/fsac/1a34774v.jpg,LC-DIG-fsac-1a34774,Jack Delano,"Loading oranges into a refrigerator car at a co-op orange packing plant, Redlands, Calif. Santa Fe R.R. trip",1943,3,California,Redlands,San County,-117.1825381,34.0555693
media/fsac/1a35217v.jpg,LC-DIG-fsac-1a35217,Alfred T. Palmer,"Tank driver, Ft. Knox, Ky.",1942,6,Kentucky,Fort Knox,Hardin County,-85.963629,37.891129
media/fsac/1a35414v.jpg,LC-DIG-fsac-1a35414,Arthur Siegel,"Hanna furnaces of the Great Lakes Steel Corporation, Detroit, Mich. Cleaning out loose coke after removing a door preparatory to putting door back",1942,11,Michigan,Detroit,Wayne County,-83.0457538,42.331427
media/fsac/1a34216v.jpg,LC-DIG-fsac-1a34216,Russell Lee,"Milk and butter fat receiving depot and creamery, Caldwell, Idaho",1941,7,Idaho,Caldwell,Canyon County,-116.6873596,43.6629384
media/fsac/1a34584v.jpg,LC-DIG-fsac-1a34584,Marjory Collins,"Camouflage class in New York University, where men and women are preparing for jobs in the Army or in industry, New York, N.Y. They make models from aerial photographs, re-photograph them, then work out a camouflage scheme and make a final photograph",1943,3,New York,New York,New County,-74.0059729,40.7142691
media/fsac/1a35200v.jpg,LC-DIG-fsac-1a35200,Alfred T. Palmer,"The crew of an M-3 tank learn all the ways of causing trouble for the Axis with a 75-mm. gun, a 37-mm. gun and four machine guns, Fort Knox, Ky. The Fort Knox School for tank crews has graduated many men who are now ready to meet the enemy on our far flung battle lines -- and on more than equal terms. [Tank] commander",1942,6,Kentucky,Fort Knox,Hardin County,-85.963629,37.891129
media/fsac/1a34123v.jpg,LC-DIG-fsac-1a34123,Russell Lee,"Fruit wagon at the Pie Town, New Mexico Fair",1940,10,New Mexico,Pie Town,Catron County,-108.1347836,34.2983884
media/fsac/1a34097v.jpg,LC-DIG-fsac-1a34097,Russell Lee,"Home of Jim Norris, homesteader, Pie Town, New Mexico",1940,10,New Mexico,Pie Town,Catron County,-108.1347836,34.2983884
media/fsac/1a35313v.jpg,LC-DIG-fsac-1a35313,Alfred T. Palmer,"A nose wheel and landing gear assembly for a B-25 bomber under construction in a western aircraft plant, North American Aviation, Inc., Calif. A front section of the plane shows in the background. General Doolittle has called the ship the best military plane in existence. With plenty of speed, a 1,700-mile cruising range and a ceiling of 25,000 feet, it has performed brilliantly as a medium bomber and as an escort plane.",1942,10,California,Inglewood,Los County,-118.3531311,33.9616801
media/fsac/1a33850v.jpg,LC-DIG-fsac-1a33850,Jack Delano,"Factory buildings in Lowell, Mass.",1940,12,Massachusetts,Lowell,Middlesex County,-71.3161718,42.6334247
media/fsac/1a34155v.jpg,LC-DIG-fsac-1a34155,Russell Lee,"Llano de San Juan, New Mexico, Catholic Church",1940,10,New Mexico,Llano,Taos County,-105.681682,36.1400257
media/fsac/1a34351v.jpg,LC-DIG-fsac-1a34351,Marion Post Wolcott,"Day laborers picking cotton near Clarksdale, Miss.",1939,11,Mississippi,Clarksdale,Coahoma County,-90.5709323,34.2001086
media/fsac/1a35006v.jpg,LC-DIG-fsac-1a35006,Fenno Jacobs,"Children stage a patriotic demonstration, Southington, Conn.",1942,5,Connecticut,Southington,Hartford County,-72.8776013,41.5964869
media/fsac/1a34881v.jpg,LC-DIG-fsac-1a34881,Howard R. Hollem,"Cadet L. Deitz at the Naval Air Base, Corpus Christi, Texas",1942,8,Texas,Corpus Christi,Nueces County,-97.396381,27.8005828
media/fsac/1a34456v.jpg,LC-DIG-fsac-1a34456,David Bransby,"Woman aircraft worker, Vega Aircraft Corporation, Burbank, Calif. Shown checking electrical assemblies",1942,6,California,Burbank,Los County,-118.3089661,34.1808392
media/fsac/1a34794v.jpg,LC-DIG-fsac-1a34794,Jack Delano,"John Kelseh, blacksmith, at his forge in the blacksmith shop at the roundhouse, Rock Island R.R., Blue Island, Ill.",1943,4,Illinois,Blue Island,Cook County,-87.6800486,41.6572562
media/fsac/1a34806v.jpg,LC-DIG-fsac-1a34806,Jack Delano,"C. &amp; N.W. R.R., women wipers at the roundhouse cleaning one of the giant &quot;H&#39; class locomotives, Clinton, Iowa",1943,4,Iowa,Clinton,Clinton County,-90.1887379,41.8444735
media/fsac/1a34922v.jpg,LC-DIG-fsac-1a34922,Howard R. Hollem,"Starting a propeller at the Naval Air Base, Corpus Christi, Texas",1942,8,Texas,Corpus Christi,Nueces County,-97.396381,27.8005828
media/fsac/1a34388v.jpg,LC-DIG-fsac-1a34388,Marion Post Wolcott,"Mountaineers and farmers trading mules and horses on &quot;Jockey St.,&quot; near the Court House, [Campton], Wolfe County, Ky.",1940,9,Kentucky,Campton,Wolfe County,-83.547409,37.7342526
media/fsac/1a34875v.jpg,LC-DIG-fsac-1a34875,Howard R. Hollem,"Formerly a sociology major at the University of Southern California, Mrs. Eloise J. Ellis (right) now &quot;keeps &#39;em flyin&#39;&quot; at the Naval Air Base, Corpus Christi, Texas. She is a supervisor under civil service in the Assembly and Repair Department. It is her job to maintain morale among the women by helping them solve housing and other personal problems. With her is Jo Ann Whittington, an NYA trainee at the plant",1942,8,Texas,Corpus Christi,Nueces County,-97.396381,27.8005828
media/fsac/1a34159v.jpg,LC-DIG-fsac-1a34159,Russell Lee,"Llano de San Juan, New Mexico, Catholic Church",1940,10,New Mexico,Llano,Taos County,-105.681682,36.1400257
media/fsac/1a34548v.jpg,LC-DIG-fsac-1a34548,John Collier,"Civil Air Patrol Base, Bar Harbor, Maine",1943,6,Maine,Bar Harbor (Town),Hancock County,-68.2594596,44.3748015
media/fsac/1a34734v.jpg,LC-DIG-fsac-1a34734,Jack Delano,"At the Santa Fe R.R. tie plant, Albuquerque, N[ew] Mex[ico]. The ties made of pine and fir, are seasoned for eight months. The steaming black ties in the center have just come from the retort where they have been impregnated with creosote for eight hours. This plant has a capacity of 100,000 ties per month; is currently producing 80,000",1943,3,New Mexico,Albuquerque,Bernalillo County,-106.6511367,35.0844909
media/fsac/1a35296v.jpg,LC-DIG-fsac-1a35296,Alfred T. Palmer,"Employees on the &quot;Sunshine&quot; assembly line at North American&#39;s plant put the finishing touches on another B-25 bomber, Inglewood, Calif. In addition to the battle-tested B-25 (&quot;Billy Mitchell&quot;) bomber, used in General Doolittle&#39;s raid on Tokyo, this plant produces the P-51 (&quot;Mustang&quot;) fighter plane which was first brought into prominence by the British raid on Dieppe",1942,10,California,Inglewood,Los County,-118.3531311,33.9616801
media/fsac/1a35291v.jpg,LC-DIG-fsac-1a35291,Alfred T. Palmer,"Assembling B-25 bombers at North American Aviation, Kansas City, Kan[sas]",1942,10,Kansas,Kansas City,Jackson County,-94.5785667,39.0997266
media/fsac/1a34891v.jpg,LC-DIG-fsac-1a34891,Howard R. Hollem,"Mrs. Eloise J. Ellis has been appointed by civil service to be senior supervisor in the Assembly and Repairs Department at the Naval Air Base, Corpus Christi, Texas. She buoys up feminine morale in her department by arranging suitable living conditions for out-of-state employees and by helping them with their personal problems",1942,8,Texas,Corpus Christi,Nueces County,-97.396381,27.8005828
