label,filepath,bbox_x0,bbox_y0,bbox_x1,bbox_y1,index
Green_Jay,media/birds_1000/00030.png,172.0,75.0,312.0,290.0,train
Winter_Wren,media/birds_1000/00031.png,52.0,80.0,294.0,302.0,train
Black_throated_Blue_Warbler,media/birds_1000/00032.png,156.0,43.0,360.0,298.0,train
Black_footed_Albatross,media/birds_1000/00033.png,72.0,29.0,296.0,291.0,train
American_Crow,media/birds_1000/00034.png,44.0,110.0,333.0,445.0,test
Brown_Pelican,media/birds_1000/00035.png,150.0,32.0,381.0,378.0,train
Rose_breasted_Grosbeak,media/birds_1000/00036.png,105.0,68.0,367.0,466.0,train
Kentucky_Warbler,media/birds_1000/00037.png,2.0,15.0,326.0,253.0,train
California_Gull,media/birds_1000/00038.png,187.0,56.0,462.0,318.0,test
Swainson_Warbler,media/birds_1000/00039.png,0.0,54.0,424.0,371.0,train
Nighthawk,media/birds_1000/00040.png,58.0,51.0,457.0,228.0,train
Great_Grey_Shrike,media/birds_1000/00041.png,11.0,49.0,175.0,165.0,train
Brewer_Sparrow,media/birds_1000/00042.png,118.0,150.0,257.0,336.0,test
Eared_Grebe,media/birds_1000/00043.png,88.0,54.0,420.0,293.0,test
Chuck_will_Widow,media/birds_1000/00044.png,62.0,46.0,240.0,218.0,train
Heermann_Gull,media/birds_1000/00045.png,158.0,20.0,415.0,309.0,test
Brown_Thrasher,media/birds_1000/00046.png,10.0,108.0,419.0,368.0,test
Nashville_Warbler,media/birds_1000/00047.png,74.0,76.0,296.0,254.0,test
Summer_Tanager,media/birds_1000/00048.png,246.0,77.0,433.0,233.0,train
Whip_poor_Will,media/birds_1000/00049.png,46.0,81.0,397.0,333.0,train
Le_Conte_Sparrow,media/birds_1000/00050.png,31.0,15.0,235.0,153.0,train
Slaty_backed_Gull,media/birds_1000/00051.png,115.0,57.0,411.0,318.0,train
Grasshopper_Sparrow,media/birds_1000/00052.png,125.0,122.0,284.0,230.0,train
Purple_Finch,media/birds_1000/00053.png,111.0,65.0,280.0,291.0,test
Ovenbird,media/birds_1000/00054.png,207.0,125.0,374.0,253.0,train
Tropical_Kingbird,media/birds_1000/00055.png,137.0,53.0,360.0,266.0,train
Long_tailed_Jaeger,media/birds_1000/00056.png,42.0,30.0,446.0,303.0,train
Red_faced_Cormorant,media/birds_1000/00057.png,190.0,122.0,365.0,386.0,train
House_Wren,media/birds_1000/00058.png,28.0,66.0,232.0,252.0,test
Chipping_Sparrow,media/birds_1000/00059.png,133.0,24.0,426.0,318.0,train
Baird_Sparrow,media/birds_1000/00060.png,207.0,64.0,419.0,260.0,train
Anna_Hummingbird,media/birds_1000/00061.png,87.0,108.0,441.0,323.0,train
Mangrove_Cuckoo,media/birds_1000/00062.png,46.0,111.0,314.0,260.0,train
Mallard,media/birds_1000/00063.png,21.0,54.0,439.0,237.0,train
Least_Tern,media/birds_1000/00064.png,139.0,94.0,499.0,266.0,train
Brown_Thrasher,media/birds_1000/00065.png,192.0,76.0,473.0,291.0,train
Yellow_headed_Blackbird,media/birds_1000/00066.png,124.0,89.0,281.0,305.0,test
Eared_Grebe,media/birds_1000/00067.png,195.0,135.0,409.0,244.0,train
American_Crow,media/birds_1000/00068.png,213.0,56.0,359.0,261.0,train
Ovenbird,media/birds_1000/00069.png,64.0,52.0,458.0,291.0,train
Kentucky_Warbler,media/birds_1000/00070.png,94.0,11.0,248.0,235.0,train
Mangrove_Cuckoo,media/birds_1000/00071.png,25.0,33.0,294.0,343.0,train
European_Goldfinch,media/birds_1000/00072.png,269.0,84.0,426.0,340.0,test
Vesper_Sparrow,media/birds_1000/00073.png,99.0,78.0,295.0,295.0,train
White_breasted_Nuthatch,media/birds_1000/00074.png,53.0,107.0,328.0,303.0,train
Olive_sided_Flycatcher,media/birds_1000/00075.png,134.0,118.0,274.0,358.0,train
Rock_Wren,media/birds_1000/00076.png,219.0,65.0,429.0,354.0,train
Scissor_tailed_Flycatcher,media/birds_1000/00077.png,131.0,154.0,369.0,499.0,train
Seaside_Sparrow,media/birds_1000/00078.png,136.0,114.0,249.0,259.0,test
Wilson_Warbler,media/birds_1000/00079.png,35.0,84.0,388.0,317.0,train
White_necked_Raven,media/birds_1000/00080.png,22.0,52.0,456.0,321.0,test
Worm_eating_Warbler,media/birds_1000/00081.png,29.0,92.0,346.0,268.0,train
Eastern_Towhee,media/birds_1000/00082.png,50.0,28.0,350.0,350.0,train
Evening_Grosbeak,media/birds_1000/00083.png,159.0,47.0,446.0,293.0,train
Great_Crested_Flycatcher,media/birds_1000/00084.png,94.0,40.0,450.0,317.0,test
Cedar_Waxwing,media/birds_1000/00085.png,122.0,91.0,257.0,298.0,train
Great_Grey_Shrike,media/birds_1000/00086.png,123.0,100.0,254.0,365.0,train
Clay_colored_Sparrow,media/birds_1000/00087.png,14.0,56.0,291.0,304.0,test
Rhinoceros_Auklet,media/birds_1000/00088.png,90.0,98.0,300.0,409.0,train
Red_headed_Woodpecker,media/birds_1000/00089.png,53.0,163.0,267.0,340.0,test
Mourning_Warbler,media/birds_1000/00090.png,235.0,75.0,392.0,291.0,train
Canada_Warbler,media/birds_1000/00091.png,81.0,116.0,223.0,466.0,train
Downy_Woodpecker,media/birds_1000/00092.png,61.0,61.0,210.0,436.0,train
American_Three_toed_Woodpecker,media/birds_1000/00093.png,121.0,106.0,283.0,491.0,train
Orange_crowned_Warbler,media/birds_1000/00094.png,9.0,184.0,319.0,367.0,train
Green_Kingfisher,media/birds_1000/00095.png,156.0,96.0,454.0,288.0,train
Henslow_Sparrow,media/birds_1000/00096.png,23.0,13.0,190.0,168.0,test
Groove_billed_Ani,media/birds_1000/00097.png,188.0,151.0,385.0,266.0,test
Belted_Kingfisher,media/birds_1000/00098.png,120.0,53.0,394.0,313.0,train
White_Pelican,media/birds_1000/00099.png,138.0,130.0,344.0,265.0,train
Carolina_Wren,media/birds_1000/00100.png,22.0,4.0,449.0,328.0,train
Acadian_Flycatcher,media/birds_1000/00101.png,75.0,131.0,305.0,366.0,train
Magnolia_Warbler,media/birds_1000/00102.png,203.0,71.0,456.0,257.0,train
Northern_Fulmar,media/birds_1000/00103.png,164.0,49.0,335.0,228.0,train
Rhinoceros_Auklet,media/birds_1000/00104.png,157.0,111.0,263.0,211.0,test
Yellow_throated_Vireo,media/birds_1000/00105.png,186.0,125.0,286.0,227.0,train
Least_Tern,media/birds_1000/00106.png,30.0,185.0,302.0,294.0,train
Clay_colored_Sparrow,media/birds_1000/00107.png,11.0,105.0,361.0,261.0,train
Belted_Kingfisher,media/birds_1000/00108.png,230.0,140.0,414.0,303.0,test
Nelson_Sharp_tailed_Sparrow,media/birds_1000/00109.png,231.0,151.0,369.0,284.0,train
Green_Jay,media/birds_1000/00110.png,92.0,23.0,198.0,141.0,train
Acadian_Flycatcher,media/birds_1000/00111.png,198.0,151.0,391.0,284.0,test
Tree_Sparrow,media/birds_1000/00112.png,204.0,62.0,431.0,292.0,train
Scissor_tailed_Flycatcher,media/birds_1000/00113.png,124.0,88.0,493.0,285.0,train
Red_legged_Kittiwake,media/birds_1000/00114.png,2.0,0.0,313.0,221.0,train
Magnolia_Warbler,media/birds_1000/00115.png,123.0,94.0,405.0,275.0,train
Hooded_Warbler,media/birds_1000/00116.png,67.0,78.0,291.0,184.0,train
Elegant_Tern,media/birds_1000/00117.png,111.0,16.0,398.0,260.0,train
Bay_breasted_Warbler,media/birds_1000/00118.png,163.0,111.0,299.0,240.0,train
Great_Crested_Flycatcher,media/birds_1000/00119.png,72.0,24.0,448.0,483.0,train
American_Three_toed_Woodpecker,media/birds_1000/00120.png,197.0,36.0,355.0,138.0,train
American_Goldfinch,media/birds_1000/00121.png,62.0,49.0,264.0,188.0,train
Cedar_Waxwing,media/birds_1000/00122.png,104.0,57.0,254.0,372.0,train
Florida_Jay,media/birds_1000/00123.png,142.0,99.0,336.0,289.0,train
Louisiana_Waterthrush,media/birds_1000/00124.png,57.0,49.0,327.0,222.0,train
Louisiana_Waterthrush,media/birds_1000/00125.png,51.0,30.0,284.0,325.0,train
Kentucky_Warbler,media/birds_1000/00126.png,82.0,186.0,294.0,379.0,test
Horned_Grebe,media/birds_1000/00127.png,43.0,57.0,312.0,175.0,train
Pine_Warbler,media/birds_1000/00128.png,112.0,146.0,305.0,378.0,train
Fish_Crow,media/birds_1000/00129.png,34.0,85.0,410.0,269.0,train
Mallard,media/birds_1000/00130.png,247.0,68.0,437.0,287.0,train
Brewer_Blackbird,media/birds_1000/00131.png,149.0,48.0,426.0,235.0,test
Common_Tern,media/birds_1000/00132.png,41.0,34.0,236.0,202.0,train
Horned_Lark,media/birds_1000/00133.png,14.0,32.0,420.0,370.0,train
Marsh_Wren,media/birds_1000/00134.png,113.0,163.0,308.0,366.0,train
Least_Auklet,media/birds_1000/00135.png,109.0,94.0,273.0,306.0,train
Horned_Grebe,media/birds_1000/00136.png,102.0,67.0,340.0,197.0,test
Green_Jay,media/birds_1000/00137.png,50.0,10.0,253.0,177.0,train
Evening_Grosbeak,media/birds_1000/00138.png,156.0,57.0,426.0,317.0,test
Chipping_Sparrow,media/birds_1000/00139.png,208.0,134.0,441.0,281.0,train
Black_throated_Blue_Warbler,media/birds_1000/00140.png,136.0,78.0,413.0,260.0,train
White_Pelican,media/birds_1000/00141.png,96.0,49.0,473.0,319.0,test
Carolina_Wren,media/birds_1000/00142.png,196.0,71.0,390.0,256.0,test
Brown_Creeper,media/birds_1000/00143.png,60.0,28.0,250.0,458.0,test
Eared_Grebe,media/birds_1000/00144.png,161.0,94.0,446.0,254.0,test
Chestnut_sided_Warbler,media/birds_1000/00145.png,56.0,271.0,217.0,447.0,train
Olive_sided_Flycatcher,media/birds_1000/00146.png,315.0,118.0,417.0,325.0,test
Black_Tern,media/birds_1000/00147.png,85.0,98.0,402.0,418.0,train
Cape_May_Warbler,media/birds_1000/00148.png,2.0,50.0,331.0,304.0,train
Red_bellied_Woodpecker,media/birds_1000/00149.png,227.0,50.0,416.0,371.0,train
Yellow_headed_Blackbird,media/birds_1000/00150.png,102.0,77.0,300.0,275.0,train
Whip_poor_Will,media/birds_1000/00151.png,100.0,82.0,339.0,256.0,train
Gray_Kingbird,media/birds_1000/00152.png,64.0,139.0,290.0,468.0,train
Hooded_Warbler,media/birds_1000/00153.png,94.0,23.0,360.0,312.0,test
Ovenbird,media/birds_1000/00154.png,152.0,124.0,391.0,278.0,test
Vesper_Sparrow,media/birds_1000/00155.png,113.0,178.0,254.0,358.0,train
Caspian_Tern,media/birds_1000/00156.png,148.0,15.0,466.0,313.0,train
Cape_May_Warbler,media/birds_1000/00157.png,47.0,151.0,347.0,288.0,test
Nelson_Sharp_tailed_Sparrow,media/birds_1000/00158.png,106.0,44.0,324.0,291.0,test
Fish_Crow,media/birds_1000/00159.png,32.0,113.0,233.0,430.0,train
Glaucous_winged_Gull,media/birds_1000/00160.png,41.0,79.0,422.0,308.0,test
Lazuli_Bunting,media/birds_1000/00161.png,243.0,87.0,423.0,232.0,train
Yellow_bellied_Flycatcher,media/birds_1000/00162.png,52.0,25.0,269.0,236.0,test
Cedar_Waxwing,media/birds_1000/00163.png,134.0,43.0,392.0,317.0,test
Sayornis,media/birds_1000/00164.png,60.0,141.0,343.0,416.0,train
White_breasted_Nuthatch,media/birds_1000/00165.png,2.0,100.0,359.0,275.0,train
Orange_crowned_Warbler,media/birds_1000/00166.png,140.0,136.0,359.0,278.0,test
Wilson_Warbler,media/birds_1000/00167.png,61.0,73.0,495.0,289.0,train
Bobolink,media/birds_1000/00168.png,8.0,36.0,377.0,457.0,train
Herring_Gull,media/birds_1000/00169.png,70.0,93.0,368.0,374.0,train
Baltimore_Oriole,media/birds_1000/00170.png,95.0,154.0,231.0,499.0,train
Ringed_Kingfisher,media/birds_1000/00171.png,35.0,63.0,221.0,336.0,train
Lincoln_Sparrow,media/birds_1000/00172.png,88.0,68.0,419.0,343.0,test
Forsters_Tern,media/birds_1000/00173.png,34.0,50.0,484.0,262.0,test
Common_Raven,media/birds_1000/00174.png,158.0,107.0,465.0,301.0,train
Red_bellied_Woodpecker,media/birds_1000/00175.png,136.0,44.0,312.0,373.0,train
Warbling_Vireo,media/birds_1000/00176.png,88.0,117.0,337.0,263.0,test
House_Wren,media/birds_1000/00177.png,56.0,104.0,347.0,331.0,train
Frigatebird,media/birds_1000/00178.png,72.0,1.0,471.0,252.0,train
Evening_Grosbeak,media/birds_1000/00179.png,41.0,145.0,250.0,400.0,train
Boat_tailed_Grackle,media/birds_1000/00180.png,96.0,162.0,389.0,474.0,test
Magnolia_Warbler,media/birds_1000/00181.png,48.0,68.0,286.0,313.0,train
Myrtle_Warbler,media/birds_1000/00182.png,17.0,148.0,271.0,447.0,train
Palm_Warbler,media/birds_1000/00183.png,64.0,102.0,392.0,325.0,train
Brown_Pelican,media/birds_1000/00184.png,29.0,42.0,476.0,312.0,train
Lincoln_Sparrow,media/birds_1000/00185.png,105.0,93.0,347.0,311.0,train
Frigatebird,media/birds_1000/00186.png,79.0,40.0,289.0,266.0,test
Brown_Creeper,media/birds_1000/00187.png,17.0,40.0,412.0,278.0,train
Tree_Sparrow,media/birds_1000/00188.png,110.0,70.0,443.0,289.0,train
Horned_Grebe,media/birds_1000/00189.png,227.0,127.0,358.0,228.0,train
Slaty_backed_Gull,media/birds_1000/00190.png,45.0,35.0,461.0,325.0,train
Winter_Wren,media/birds_1000/00191.png,84.0,73.0,282.0,286.0,train
Green_Kingfisher,media/birds_1000/00192.png,89.0,89.0,373.0,260.0,train
Pileated_Woodpecker,media/birds_1000/00193.png,152.0,43.0,426.0,366.0,train
Rusty_Blackbird,media/birds_1000/00194.png,88.0,56.0,256.0,192.0,test
Nashville_Warbler,media/birds_1000/00195.png,86.0,72.0,320.0,251.0,train
Red_eyed_Vireo,media/birds_1000/00196.png,24.0,60.0,326.0,277.0,train
Eared_Grebe,media/birds_1000/00197.png,218.0,186.0,413.0,295.0,train
Hooded_Warbler,media/birds_1000/00198.png,113.0,67.0,412.0,298.0,train
Black_and_white_Warbler,media/birds_1000/00199.png,170.0,73.0,333.0,306.0,test
Bay_breasted_Warbler,media/birds_1000/00200.png,180.0,130.0,434.0,272.0,train
Field_Sparrow,media/birds_1000/00201.png,176.0,79.0,340.0,331.0,train
American_Crow,media/birds_1000/00202.png,93.0,88.0,359.0,277.0,train
Scott_Oriole,media/birds_1000/00203.png,117.0,35.0,381.0,300.0,train
Prairie_Warbler,media/birds_1000/00204.png,109.0,95.0,275.0,310.0,train
Parakeet_Auklet,media/birds_1000/00205.png,248.0,170.0,389.0,396.0,test
Downy_Woodpecker,media/birds_1000/00206.png,87.0,79.0,208.0,417.0,test
Brown_Pelican,media/birds_1000/00207.png,21.0,0.0,497.0,266.0,test
Mourning_Warbler,media/birds_1000/00208.png,37.0,45.0,433.0,372.0,train
House_Sparrow,media/birds_1000/00209.png,6.0,90.0,365.0,293.0,train
Western_Meadowlark,media/birds_1000/00210.png,71.0,108.0,286.0,321.0,train
Western_Wood_Pewee,media/birds_1000/00211.png,185.0,74.0,310.0,340.0,train
Orchard_Oriole,media/birds_1000/00212.png,74.0,38.0,431.0,345.0,train
White_Pelican,media/birds_1000/00213.png,152.0,80.0,435.0,313.0,train
Rusty_Blackbird,media/birds_1000/00214.png,84.0,26.0,322.0,174.0,train
Ivory_Gull,media/birds_1000/00215.png,180.0,76.0,391.0,255.0,test
Ruby_throated_Hummingbird,media/birds_1000/00216.png,235.0,88.0,359.0,313.0,train
Tennessee_Warbler,media/birds_1000/00217.png,61.0,144.0,300.0,347.0,train
Pigeon_Guillemot,media/birds_1000/00218.png,4.0,61.0,473.0,269.0,train
Red_legged_Kittiwake,media/birds_1000/00219.png,6.0,54.0,301.0,278.0,train
Le_Conte_Sparrow,media/birds_1000/00220.png,187.0,128.0,448.0,439.0,train
Hooded_Oriole,media/birds_1000/00221.png,241.0,85.0,436.0,314.0,train
Least_Tern,media/birds_1000/00222.png,188.0,151.0,374.0,275.0,test
Black_throated_Blue_Warbler,media/birds_1000/00223.png,129.0,125.0,318.0,279.0,train
Purple_Finch,media/birds_1000/00224.png,31.0,66.0,445.0,287.0,train
Cape_Glossy_Starling,media/birds_1000/00225.png,60.0,60.0,261.0,355.0,test
Western_Gull,media/birds_1000/00226.png,122.0,83.0,383.0,347.0,train
Laysan_Albatross,media/birds_1000/00227.png,35.0,114.0,453.0,330.0,train
Tropical_Kingbird,media/birds_1000/00228.png,117.0,148.0,293.0,365.0,train
Pileated_Woodpecker,media/birds_1000/00229.png,108.0,121.0,217.0,405.0,train
Magnolia_Warbler,media/birds_1000/00230.png,105.0,166.0,266.0,402.0,test
Harris_Sparrow,media/birds_1000/00231.png,73.0,74.0,480.0,290.0,train
White_breasted_Nuthatch,media/birds_1000/00232.png,24.0,91.0,422.0,323.0,train
Rock_Wren,media/birds_1000/00233.png,70.0,67.0,341.0,291.0,train
Field_Sparrow,media/birds_1000/00234.png,152.0,96.0,321.0,276.0,train
Nighthawk,media/birds_1000/00235.png,62.0,58.0,317.0,249.0,train
Black_billed_Cuckoo,media/birds_1000/00236.png,6.0,94.0,390.0,300.0,train
Forsters_Tern,media/birds_1000/00237.png,77.0,51.0,309.0,266.0,train
Yellow_billed_Cuckoo,media/birds_1000/00238.png,88.0,153.0,194.0,445.0,train
Ring_billed_Gull,media/birds_1000/00239.png,175.0,123.0,312.0,350.0,train
Yellow_billed_Cuckoo,media/birds_1000/00240.png,133.0,68.0,326.0,263.0,test
Lincoln_Sparrow,media/birds_1000/00241.png,171.0,84.0,390.0,280.0,train
Artic_Tern,media/birds_1000/00242.png,14.0,79.0,363.0,403.0,train
Savannah_Sparrow,media/birds_1000/00243.png,143.0,133.0,302.0,289.0,train
Mockingbird,media/birds_1000/00244.png,96.0,46.0,455.0,293.0,train
Nashville_Warbler,media/birds_1000/00245.png,81.0,81.0,281.0,220.0,train
Rock_Wren,media/birds_1000/00246.png,77.0,53.0,457.0,317.0,test
Western_Meadowlark,media/birds_1000/00247.png,61.0,45.0,366.0,236.0,train
Sage_Thrasher,media/birds_1000/00248.png,2.0,49.0,420.0,300.0,train
Black_billed_Cuckoo,media/birds_1000/00249.png,184.0,36.0,491.0,339.0,test
Seaside_Sparrow,media/birds_1000/00250.png,320.0,133.0,469.0,321.0,train
Chuck_will_Widow,media/birds_1000/00251.png,24.0,22.0,489.0,270.0,train
Bohemian_Waxwing,media/birds_1000/00252.png,6.0,46.0,366.0,322.0,train
Ivory_Gull,media/birds_1000/00253.png,123.0,153.0,316.0,463.0,train
Chuck_will_Widow,media/birds_1000/00254.png,82.0,53.0,499.0,357.0,test
American_Pipit,media/birds_1000/00255.png,246.0,88.0,438.0,326.0,train
Common_Raven,media/birds_1000/00256.png,52.0,38.0,498.0,329.0,test
Louisiana_Waterthrush,media/birds_1000/00257.png,56.0,61.0,308.0,303.0,train
Yellow_breasted_Chat,media/birds_1000/00258.png,55.0,161.0,295.0,355.0,train
Pied_Kingfisher,media/birds_1000/00259.png,67.0,105.0,344.0,338.0,test
Green_Violetear,media/birds_1000/00260.png,60.0,75.0,442.0,283.0,train
Cedar_Waxwing,media/birds_1000/00261.png,43.0,98.0,262.0,490.0,train
Western_Meadowlark,media/birds_1000/00262.png,95.0,180.0,243.0,311.0,test
Shiny_Cowbird,media/birds_1000/00263.png,261.0,127.0,435.0,242.0,test
American_Redstart,media/birds_1000/00264.png,91.0,81.0,482.0,293.0,train
Canada_Warbler,media/birds_1000/00265.png,168.0,80.0,307.0,224.0,train
Shiny_Cowbird,media/birds_1000/00266.png,170.0,131.0,349.0,244.0,train
Heermann_Gull,media/birds_1000/00267.png,90.0,80.0,499.0,350.0,train
Evening_Grosbeak,media/birds_1000/00268.png,9.0,39.0,443.0,316.0,train
Brewer_Blackbird,media/birds_1000/00269.png,107.0,34.0,497.0,316.0,train
Pine_Warbler,media/birds_1000/00270.png,109.0,121.0,377.0,295.0,train
Mangrove_Cuckoo,media/birds_1000/00271.png,81.0,135.0,321.0,408.0,train
Red_eyed_Vireo,media/birds_1000/00272.png,117.0,85.0,488.0,251.0,test
Chestnut_sided_Warbler,media/birds_1000/00273.png,172.0,59.0,407.0,295.0,train
Blue_headed_Vireo,media/birds_1000/00274.png,61.0,75.0,321.0,223.0,train
Field_Sparrow,media/birds_1000/00275.png,178.0,170.0,397.0,356.0,train
Song_Sparrow,media/birds_1000/00276.png,13.0,119.0,218.0,315.0,train
Cape_Glossy_Starling,media/birds_1000/00277.png,75.0,85.0,362.0,326.0,train
Red_faced_Cormorant,media/birds_1000/00278.png,108.0,74.0,234.0,323.0,train
Pelagic_Cormorant,media/birds_1000/00279.png,146.0,123.0,289.0,437.0,train
Baird_Sparrow,media/birds_1000/00280.png,22.0,97.0,167.0,273.0,train
American_Goldfinch,media/birds_1000/00281.png,107.0,76.0,410.0,469.0,train
Acadian_Flycatcher,media/birds_1000/00282.png,24.0,64.0,490.0,331.0,train
Ringed_Kingfisher,media/birds_1000/00283.png,207.0,95.0,348.0,298.0,train
Henslow_Sparrow,media/birds_1000/00284.png,138.0,156.0,474.0,421.0,train
Vermilion_Flycatcher,media/birds_1000/00285.png,163.0,94.0,314.0,288.0,test
Boat_tailed_Grackle,media/birds_1000/00286.png,14.0,192.0,343.0,461.0,train
Palm_Warbler,media/birds_1000/00287.png,63.0,189.0,350.0,414.0,test
Red_headed_Woodpecker,media/birds_1000/00288.png,108.0,84.0,264.0,476.0,train
Brown_Creeper,media/birds_1000/00289.png,107.0,135.0,271.0,425.0,train
Cardinal,media/birds_1000/00290.png,164.0,99.0,487.0,396.0,train
Red_bellied_Woodpecker,media/birds_1000/00291.png,25.0,44.0,218.0,439.0,train
White_necked_Raven,media/birds_1000/00292.png,218.0,59.0,431.0,338.0,train
Green_tailed_Towhee,media/birds_1000/00293.png,165.0,170.0,303.0,330.0,test
California_Gull,media/birds_1000/00294.png,71.0,96.0,313.0,318.0,train
Fish_Crow,media/birds_1000/00295.png,27.0,79.0,332.0,452.0,train
Yellow_billed_Cuckoo,media/birds_1000/00296.png,31.0,83.0,496.0,290.0,train
Barn_Swallow,media/birds_1000/00297.png,26.0,20.0,474.0,285.0,train
Black_throated_Sparrow,media/birds_1000/00298.png,47.0,91.0,457.0,319.0,train
Le_Conte_Sparrow,media/birds_1000/00299.png,60.0,92.0,428.0,317.0,test
Boat_tailed_Grackle,media/birds_1000/00300.png,127.0,56.0,404.0,333.0,test
Dark_eyed_Junco,media/birds_1000/00301.png,219.0,115.0,370.0,322.0,train
Yellow_throated_Vireo,media/birds_1000/00302.png,175.0,51.0,447.0,267.0,test
Vesper_Sparrow,media/birds_1000/00303.png,134.0,127.0,379.0,409.0,train
Rhinoceros_Auklet,media/birds_1000/00304.png,0.0,6.0,360.0,392.0,train
Philadelphia_Vireo,media/birds_1000/00305.png,177.0,168.0,418.0,293.0,test
Sooty_Albatross,media/birds_1000/00306.png,86.0,57.0,216.0,327.0,test
White_necked_Raven,media/birds_1000/00307.png,40.0,31.0,347.0,319.0,test
Green_Violetear,media/birds_1000/00308.png,114.0,68.0,350.0,308.0,train
Red_breasted_Merganser,media/birds_1000/00309.png,55.0,64.0,343.0,234.0,train
Vesper_Sparrow,media/birds_1000/00310.png,56.0,32.0,311.0,479.0,train
Golden_winged_Warbler,media/birds_1000/00311.png,42.0,79.0,336.0,293.0,train
Grasshopper_Sparrow,media/birds_1000/00312.png,184.0,85.0,488.0,320.0,test
Herring_Gull,media/birds_1000/00313.png,39.0,67.0,420.0,271.0,train
Blue_winged_Warbler,media/birds_1000/00314.png,6.0,138.0,335.0,373.0,train
Black_billed_Cuckoo,media/birds_1000/00315.png,58.0,159.0,220.0,458.0,train
Indigo_Bunting,media/birds_1000/00316.png,86.0,145.0,292.0,306.0,train
Prairie_Warbler,media/birds_1000/00317.png,72.0,75.0,384.0,322.0,train
Bewick_Wren,media/birds_1000/00318.png,43.0,69.0,390.0,315.0,test
Anna_Hummingbird,media/birds_1000/00319.png,69.0,118.0,324.0,417.0,train
Ivory_Gull,media/birds_1000/00320.png,122.0,113.0,297.0,249.0,test
Least_Flycatcher,media/birds_1000/00321.png,169.0,93.0,336.0,410.0,test
White_necked_Raven,media/birds_1000/00322.png,59.0,131.0,319.0,313.0,train
Scarlet_Tanager,media/birds_1000/00323.png,58.0,96.0,306.0,304.0,train
Barn_Swallow,media/birds_1000/00324.png,78.0,100.0,334.0,359.0,train
Carolina_Wren,media/birds_1000/00325.png,217.0,69.0,360.0,338.0,train
Yellow_Warbler,media/birds_1000/00326.png,118.0,68.0,391.0,300.0,train
Horned_Grebe,media/birds_1000/00327.png,64.0,82.0,339.0,250.0,train
Indigo_Bunting,media/birds_1000/00328.png,208.0,112.0,328.0,228.0,train
House_Sparrow,media/birds_1000/00329.png,184.0,66.0,427.0,328.0,test
Le_Conte_Sparrow,media/birds_1000/00330.png,106.0,134.0,331.0,425.0,train
Nighthawk,media/birds_1000/00331.png,173.0,18.0,460.0,310.0,test
Bank_Swallow,media/birds_1000/00332.png,20.0,93.0,390.0,285.0,train
Sooty_Albatross,media/birds_1000/00333.png,247.0,62.0,464.0,313.0,train
Clark_Nutcracker,media/birds_1000/00334.png,95.0,49.0,451.0,368.0,train
