iso,full_name,region,subregion,pop,lexp,lat,lon,hdi,gdp,gini,happy,cellphone,water_access,lang
PER,Peru,Americas,South America,34.577,81.49,-9.4,-76,0.794,16371,43.8,59.36,100.1,75.52734,aym|que|spa
KGZ,Kyrgyzstan,Asia,Central Asia,7.295,74.36,41,75,0.72,7567,29,59.1,96.1,97.54907,kir
EST,Estonia,Europe,Northern Europe,1.344,79.01,59,26,0.905,42892,30.8,64.3,124.1,99.06799,est
KAZ,Kazakhstan,Asia,Central Asia,20.844,72.65,48,68,0.837,38238,27.8,62.99,115.2,97.8737,kaz
ARE,United Arab Emirates,Asia,Western Asia,11.346,74.94,24.4,54.3,0.94,72660,26,67.28,157.5,99.10363,ara
MLI,Mali,Africa,Western Africa,25.199,63.28,17,-4,0.419,3038,36.1,43.7,46.7,41.2864,bam|ful|mey|kao|myq|myk|snk|taq
ISR,Israel,Asia,Western Asia,9.517,83.86,31,35,0.919,49539,38.6,67.83,124.2,99.95453,heb
MMR,Myanmar,Asia,South-eastern Asia,54.851,70.76,22,96,0.609,5494,30.7,43.91,1.2,72.21442,mya
TCD,Chad,Africa,Middle Africa,21.004,61.58,15.466667,19.4,0.416,2646,37.5,45.44,23.4,11.82919,ara|fra
AZE,Azerbaijan,Asia,Western Asia,10.398,71.73,40.3,47.7,0.789,23178,26.6,52.14,99.5,96.12412,aze
MRT,Mauritania,Africa,Western Africa,5.315,72.25,21,-11,0.563,6710,32.6,42.92,81.9,45.53805,ara
CIV,Côte d'Ivoire,Africa,Western Africa,32.712,65.53,8,-6,0.582,7143,37.2,53.37,69.4,33.11574,fra
NIC,Nicaragua,Americas,Central America,7.008,76.51,13,-85,0.706,8023,46.2,63.62,69.1,72.87482,spa
NOR,Norway,Europe,Northern Europe,5.623,83.78,65,11,0.97,94896,27.7,72.49,114.5,98.05439,nob|nor|nno
SWE,Sweden,Europe,Northern Europe,10.657,83.72,61,15,0.959,65597,29.3,71.61,117.2,98.93238,swe
KEN,Kenya,Africa,Eastern Africa,57.532,67.98,0.1,38,0.628,6159,40.8,44.96,60,34.4882,eng|swa
CZE,Czechia,Europe,Eastern Europe,10.609,80.33,50,15,0.915,50180,25.3,68.27,123.6,99.13755,ces
SVN,Slovenia,Europe,Southern Europe,2.117,82.45,46,15,0.931,50559,24.4,67.46,103.8,98.52463,slv
UGA,Uganda,Africa,Eastern Africa,51.385,67.55,1.28,32.39,0.582,3048,42.7,44.67,39.6,19.99878,eng|swa
RUS,Russian Federation,Europe,Eastern Europe,143.997,73.89,66.416666666,94.25,0.832,40871,36,58.65,165.1,88.24222,rus
URY,Uruguay,Americas,South America,3.385,78.5,-33,-56,0.862,33758,40.2,66.62,133.7,97.19215,spa
COM,Comoros,Africa,Eastern Africa,0.883,70.26,-12.3,43.7,0.603,3718,45.3,35.88,25.2,35.85662,ara|fra
ZWE,Zimbabwe,Africa,Eastern Africa,16.951,61.97,-19,30,0.598,3676,50.3,35.72,57.6,36.94167,bwg|nya|eng|kck|nmq|ndc|nde|sot|sna|toi|tso|tsn|ven|xho|zib
BOL,"Bolivia, Plurinational State of",Americas,South America,12.582,73.47,-17.056869611,-64.991228611,0.733,10090,43.6,58.6,70.5,60.18194,aym|aym|grn|grn|que|que|spa|spa
UZB,Uzbekistan,Asia,Central Asia,37.053,69.07,41,66,0.74,11127,35.3,63.85,73.8,95.69356,uzb
MKD,North Macedonia,Europe,Southern Europe,1.814,75.3,41.65,21.716667,0.815,26049,33,54.03,105,96.71744,sqi|mkd
BIH,Bosnia and Herzegovina,Europe,Southern Europe,3.14,77.91,44,18,0.804,21621,33,60.09,81.6,95.36024,bos|hrv|srp
IRN,"Iran, Islamic Republic of",Asia,Southern Asia,92.418,79.07,32,53,0.799,16540,40.9,50.04,69.8,89.31666,fas
GTM,Guatemala,Americas,Central America,18.688,73.63,15.5,-90.25,0.662,13329,48.3,64.21,124.6,67.648929999999993,spa
PRT,Portugal,Europe,Southern Europe,10.412,82.79,38.7,-9.183333333,0.89,43664,32.8,59.54,115.4,99.52031,mwl|por
COL,Colombia,Americas,South America,53.426,81.37,4,-73.25,0.788,19302,54.2,59.04,99.3,90.42258,spa
DNK,Denmark,Europe,Northern Europe,6.003,82.02,56,10,0.962,77337,27.7,75.04,115.7,99.59723,dan
JPN,Japan,Asia,Eastern Asia,123.103,85.58,35,136,0.925,47815,32.9,59.1,96.2,99.95242,jpn
ISL,Iceland,Europe,Northern Europe,0.398,84.92,65,-19,0.972,67444,26.1,75.62,107.2,98.78217,isl
COG,Congo,Africa,Middle Africa,6.484,66.38,-0.75,15.383330555,0.649,6377,48.9,49.54,83.3,20.17288,fra
BWA,Botswana,Africa,Southern Africa,2.562,63.08,-22.2,23.7,0.731,18189,53.3,33.32,116.2,77.26922,eng
GRC,Greece,Europe,Southern Europe,9.939,82.07,38.5,23,0.908,39621,33.1,57.96,110.5,98.98319,ell
ESP,Spain,Europe,Southern Europe,47.89,83.87,40.2,-3.5,0.918,50242,34.3,64.56,109.7,99.91984,spa
JOR,Jordan,Asia,Western Asia,11.521,79.2,31.2,36.5,0.754,9977,33.7,42.92,90.7,97.39147,ara
NZL,New Zealand,Oceania,Australia and New Zealand,5.252,82.65,-41.2,174,0.938,49598,,69.76,108.3,100,eng|mri|nzs
KOR,"Korea, Republic of",Asia,Eastern Asia,51.667,83.63,36,128,0.937,54667,31.4,61.12,104.1,99.87883,kor|kvk
GBR,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,69.551,81.93,54.6,-2,0.946,53993,32.8,66.58,121.8,99.1103,eng
MLT,Malta,Europe,Southern Europe,0.545,83.48,35.883333333,14.5,0.924,63314,31,62.95,107.8,99.96455,eng|mlt
NER,Niger,Africa,Western Africa,27.918,64.09,17,10,0.419,1870,37.3,46.09,22.2,13.81057,hau
COD,"Congo, Democratic Republic of the",Africa,Middle Africa,112.832,66.25,-2.88,23.656111111,0.522,1566,42.1,33.83,17.2,17.04284,fra
HRV,Croatia,Europe,Southern Europe,3.848,79.65,45.25,15.466667,0.889,45156,28.9,59.58,114.6,96.13095,hrv
ZMB,Zambia,Africa,Eastern Africa,21.914,64.26,-14,28,0.595,3944,57.1,36.86,39,33.97176,eng
NGA,Nigeria,Africa,Western Africa,237.528,66.07,9,8,0.56,5848,35.1,48.69,52.4,41.19972,eng
NLD,"Netherlands, Kingdom of the",Europe,Western Europe,18.347,82.55,52.366666666,4.883333333,0.955,73384,,72.55,114.4,97.71353,nld
NAM,Namibia,Africa,Southern Africa,3.093,66.49,-23,17,0.665,10740,59.1,50.55,92.4,34.43011,eng
YEM,Yemen,Asia,Western Asia,41.774,69.27,15.5,48,0.47,1722,35.9,35.32,41.4,52.61741,ara|ara
LAO,Lao People's Democratic Republic,Asia,South-eastern Asia,7.873,70.65,18.2,104.1,0.617,8944,38.8,54.86,63.2,74.37984,lao
GEO,Georgia,Asia,Western Asia,3.807,74.47,42,44,0.844,27205,34.5,53.51,102.1,86.75321,abk|kat
GIN,Guinea,Africa,Western Africa,15.1,62.46,10,-11,0.5,4321,29.6,48.27,38.5,25.27932,fra
MUS,Mauritius,Africa,Eastern Africa,1.268,76.35,-20.2,57.5,0.806,28927,36.8,57.59,92.8,95.45876,eng|fra
NPL,Nepal,Asia,Southern Asia,29.618,72.9,28,84,0.622,5330,32.8,53.89,33.6,65.59537,nep
MOZ,Mozambique,Africa,Eastern Africa,35.632,60.06,-19,35,0.493,1531,54,57.04,31.4,30.56033,por
IRL,Ireland,Europe,Northern Europe,5.308,82.94,53,-8,0.949,119406,,68.17,103.1,89.3966,eng|gle
ARM,Armenia,Asia,Western Asia,2.952,76.87,40.383333,44.95,0.811,21539,25.2,56.79,131.9,93.46773,hye
PRY,Paraguay,Americas,South America,7.013,77.36,-23.5,-58,0.756,17154,43.5,62.14,103.2,89.64469,grn|spa
EGY,Egypt,Africa,Northern Africa,118.366,71.97,27,29,0.754,17541,31.5,38.81,79.2,96.56299,ara
ETH,Ethiopia,Africa,Eastern Africa,135.472,70.68,9,40,0.497,3107,35,40.93,7.6,8.04716,amh
UKR,Ukraine,Europe,Eastern Europe,38.98,74.89,49,32,0.779,15014,25.6,46.72,117.8,97.58724,ukr
CMR,Cameroon,Africa,Middle Africa,29.879,64.52,5.133333333,12.65,0.588,5107,46.6,49.46,43.9,41.90133,eng|fra
LBR,Liberia,Africa,Western Africa,5.731,67.61,6.533333,-9.75,0.51,1752,35.3,44.94,38.7,19.63094,eng
ROU,Romania,Europe,Eastern Europe,18.909,76.49,46,25,0.845,42605,34.8,64.89,119.2,84.84359,ron
MAR,Morocco,Africa,Northern Africa,38.431,74.71,32,-6,0.71,9583,39.5,44.87,98.5,84.47591,ara|zgh
MNG,Mongolia,Asia,Eastern Asia,3.517,69.64,46,105,0.747,18092,32.7,55.8,92.9,65.25597,mon
LUX,Luxembourg,Europe,Western Europe,0.68,83.82,49.77,6.13,0.922,131038,34.9,70.16,143.3,97.60054,fra|deu|ltz
LTU,Lithuania,Europe,Northern Europe,2.83,77.19,55.2,24,0.895,49761,35.3,65.53,157.9,92.73568,lit
VNM,Viet Nam,Asia,South-eastern Asia,101.599,75.44,16,108,0.766,15429,35.7,63.25,127.6,82.88576,vie
MNE,Montenegro,Europe,Southern Europe,0.633,76.92,42.766667,19.216667,0.862,29492,29.4,58.13,185.1,96.657,cnr|cnr
MEX,Mexico,Americas,Central America,131.947,76.88,23,-102,0.789,22375,45.4,70.06,80.4,89.53789,spa|yua
CAN,Canada,Americas,Northern America,40.127,83.15,56,-109,0.939,58422,33.3,68.41,75.5,98.92568,eng|fra
TJK,Tajikistan,Asia,Central Asia,10.787,70.4,38.583333,71.366667,0.691,5122,34,53.79,77.6,96.05746,tgk
CHL,Chile,Americas,South America,19.86,81.39,-33,-71,0.878,31425,44.9,62.3,115.5,100,spa
THA,Thailand,Asia,South-eastern Asia,71.62,79.78,14,101,0.798,22696,35,62.82,104.6,97.79091,tha
GMB,Gambia,Africa,Western Africa,2.822,68.16,13.5,-15.5,0.524,3199,,46.91,76.7,46.90722,eng
ALB,Albania,Europe,Southern Europe,2.772,79.67,41,20,0.81,20362,30.8,54.45,91.9,98.5473,sqi
MYS,Malaysia,Asia,South-eastern Asia,35.978,76.03,3.7805111,102.314361666,0.819,35990,46.2,58.68,118.2,95.69194,msa
SLV,El Salvador,Americas,Central America,6.366,76.98,13.668889,-88.866111,0.678,12221,38.3,64.82,126.9,86.19786,spa
CYP,Cyprus,Asia,Western Asia,1.371,81.77,35,33,0.913,55720,31.2,60.71,123.1,99.41781,ell|tur
PAK,Pakistan,Asia,Southern Asia,255.22,66.71,30,71,0.544,5717,29.6,45.49,49.8,61.92651,eng|urd
